run_id,lambda_acf,lambda_freq,lambda_motif,lambda_cp,lambda_per,mse,acf_dev,spec_dev
acf0p2_freq0p2_mot0p1_cp0p01_per0p01,0.2,0.2,0.1,0.01,0.01,0.200294,0.015379,5.256944
acf0p2_freq0p2_mot0p1_cp0p01_per0p02,0.2,0.2,0.1,0.01,0.02,0.25469,0.031275,5.848976
acf0p2_freq0p2_mot0p1_cp0p02_per0p01,0.2,0.2,0.1,0.02,0.01,0.199673,0.012277,5.093928
acf0p2_freq0p2_mot0p1_cp0p02_per0p02,0.2,0.2,0.1,0.02,0.02,0.21164,0.015301,6.779659
acf0p4_freq0p08_mot0p02_cp0p01_per0p01,0.4,0.08,0.02,0.01,0.01,0.144234,0.009002,5.113561
acf0p4_freq0p08_mot0p02_cp0p01_per0p02,0.4,0.08,0.02,0.01,0.02,0.134593,0.009612,5.374567
acf0p4_freq0p08_mot0p02_cp0p02_per0p01,0.4,0.08,0.02,0.02,0.01,0.170516,0.013657,5.191491
acf0p4_freq0p08_mot0p02_cp0p02_per0p02,0.4,0.08,0.02,0.02,0.02,0.22444,0.016023,5.532027
acf0p4_freq0p08_mot0p05_cp0p01_per0p01,0.4,0.08,0.05,0.01,0.01,0.145522,0.013203,5.791673
acf0p4_freq0p08_mot0p05_cp0p01_per0p02,0.4,0.08,0.05,0.01,0.02,0.155292,0.007897,5.001789
acf0p4_freq0p08_mot0p05_cp0p02_per0p01,0.4,0.08,0.05,0.02,0.01,0.153832,0.015552,5.336953
acf0p4_freq0p08_mot0p05_cp0p02_per0p02,0.4,0.08,0.05,0.02,0.02,0.148477,0.009358,5.660325
acf0p4_freq0p08_mot0p1_cp0p01_per0p01,0.4,0.08,0.1,0.01,0.01,0.142152,0.009881,5.813967
acf0p4_freq0p08_mot0p1_cp0p01_per0p02,0.4,0.08,0.1,0.01,0.02,0.159545,0.00784,4.970171
acf0p4_freq0p08_mot0p1_cp0p02_per0p01,0.4,0.08,0.1,0.02,0.01,0.146425,0.016207,5.140573
acf0p4_freq0p08_mot0p1_cp0p02_per0p02,0.4,0.08,0.1,0.02,0.02,0.135999,0.015367,5.450022
acf0p4_freq0p12_mot0p02_cp0p01_per0p01,0.4,0.12,0.02,0.01,0.01,0.184328,0.02433,5.870096
acf0p4_freq0p12_mot0p02_cp0p01_per0p02,0.4,0.12,0.02,0.01,0.02,0.156189,0.012914,4.794166
acf0p4_freq0p12_mot0p02_cp0p02_per0p01,0.4,0.12,0.02,0.02,0.01,0.135393,0.008065,5.11913
acf0p4_freq0p12_mot0p02_cp0p02_per0p02,0.4,0.12,0.02,0.02,0.02,0.168749,0.010057,4.588218
acf0p4_freq0p12_mot0p05_cp0p01_per0p01,0.4,0.12,0.05,0.01,0.01,0.272781,0.024275,5.00634
acf0p4_freq0p12_mot0p05_cp0p01_per0p02,0.4,0.12,0.05,0.01,0.02,0.218366,0.016868,6.358272
acf0p4_freq0p12_mot0p05_cp0p02_per0p01,0.4,0.12,0.05,0.02,0.01,0.161528,0.01411,5.401482
acf0p4_freq0p12_mot0p05_cp0p02_per0p02,0.4,0.12,0.05,0.02,0.02,0.160461,0.009552,5.22712
acf0p4_freq0p12_mot0p1_cp0p01_per0p01,0.4,0.12,0.1,0.01,0.01,0.179381,0.012366,5.426875
acf0p4_freq0p12_mot0p1_cp0p01_per0p02,0.4,0.12,0.1,0.01,0.02,0.132861,0.009898,4.967188
acf0p4_freq0p12_mot0p1_cp0p02_per0p01,0.4,0.12,0.1,0.02,0.01,0.15303,0.010251,5.582178
acf0p4_freq0p12_mot0p1_cp0p02_per0p02,0.4,0.12,0.1,0.02,0.02,0.170368,0.009312,7.252532
acf0p4_freq0p2_mot0p02_cp0p01_per0p01,0.4,0.2,0.02,0.01,0.01,0.203537,0.054892,5.38716
acf0p4_freq0p2_mot0p02_cp0p01_per0p02,0.4,0.2,0.02,0.01,0.02,0.41623,0.044004,7.011615
acf0p4_freq0p2_mot0p02_cp0p02_per0p01,0.4,0.2,0.02,0.02,0.01,0.183717,0.012538,4.94526
acf0p4_freq0p2_mot0p02_cp0p02_per0p02,0.4,0.2,0.02,0.02,0.02,0.177523,0.010672,5.655829
acf0p4_freq0p2_mot0p05_cp0p01_per0p01,0.4,0.2,0.05,0.01,0.01,0.219971,0.014388,6.53474
acf0p4_freq0p2_mot0p05_cp0p01_per0p02,0.4,0.2,0.05,0.01,0.02,0.272619,0.021217,7.478889
acf0p4_freq0p2_mot0p05_cp0p02_per0p01,0.4,0.2,0.05,0.02,0.01,0.19681,0.012483,5.617902
acf0p4_freq0p2_mot0p05_cp0p02_per0p02,0.4,0.2,0.05,0.02,0.02,0.179538,0.008581,5.075095
acf0p4_freq0p2_mot0p1_cp0p01_per0p01,0.4,0.2,0.1,0.01,0.01,0.24359,0.015381,5.548316
acf0p4_freq0p2_mot0p1_cp0p01_per0p02,0.4,0.2,0.1,0.01,0.02,0.166982,0.017845,4.988492
acf0p4_freq0p2_mot0p1_cp0p02_per0p01,0.4,0.2,0.1,0.02,0.01,0.266162,0.016069,6.367356
acf0p4_freq0p2_mot0p1_cp0p02_per0p02,0.4,0.2,0.1,0.02,0.02,0.214601,0.021764,5.733867
acf0p8_freq0p08_mot0p02_cp0p01_per0p01,0.8,0.08,0.02,0.01,0.01,0.128295,0.008703,5.048373
acf0p8_freq0p08_mot0p02_cp0p01_per0p02,0.8,0.08,0.02,0.01,0.02,0.119177,0.007311,5.676262
acf0p8_freq0p08_mot0p02_cp0p02_per0p01,0.8,0.08,0.02,0.02,0.01,0.152172,0.008797,6.144813
acf0p8_freq0p08_mot0p02_cp0p02_per0p02,0.8,0.08,0.02,0.02,0.02,0.150619,0.011243,5.258994
